NAME	TITLE	SCORE	
Ptges3		19.761986	
Hpf1		12.85514	
Odc1		11.311488	
Selenof		11.288164	
Kcnj8		9.821338	
Igip		9.634498	
Pcnp		9.439869	
Haus2		9.202729	
Dnah7c		8.817652	
Adi1		8.739294	
Rps12		8.700061	
Smim10l1		8.526339	
Sec62		8.405973	
Skp1a		8.271696	
Tgm4		8.098756	
Apip		8.013638	
Rragb		7.951922	
Arl6ip1		7.88337	
Nrsn1		7.870307	
Mesd		7.778668	
Gzmk		7.7006345	
Hspa5		7.673997	
Ssr3		7.648488	
Pnrc2		7.5895414	
Gm5415		7.564462	
Sumo1		7.524836	
Ing1		7.462864	
Kdelr2		7.443554	
H2-Aa		7.415843	
Aktip		7.3977013	
Selenot		7.397288	
Cldnd1		7.2983165	
Eif3i		7.29459	
Zscan30		7.280568	
Paip2		7.2223253	
4930447C04Rik		7.2213144	
Rbm18		7.1737595	
Mob4		7.151138	
Ube2v2		7.0798845	
Eif3e		7.0319276	
Rpe		6.8497033	
Dstn		6.831783	
Dynlt3		6.8189883	
Glod4		6.8079877	
Ccnc		6.7838974	
Fundc1		6.780093	
Arl6		6.776089	
Hsp90b1		6.766513	
Gm10432		6.673099	
BC003965		6.652128	
Tram1		6.6006727	
Pcsk1		6.5679407	
Atg4c		6.486135	
Anxa4		6.482147	
Rsl1d1		6.4740973	
Sar1b		6.4282503	
Eif4a2		6.405541	
Snx6		6.391256	
Tpt1		6.3883924	
Nt5c3		6.3728056	
Cpe		6.3695273	
Rplp0		6.35214	
Ttc1		6.3323083	
Cnbp		6.318383	
Serinc3		6.272411	
Reep5		6.26954	
9330159F19Rik		6.2636356	
Glra2		6.2579103	
Katnal2		6.256748	
Pgrmc2		6.2562904	
Atad1		6.25278	
Olfr288		6.18942	
Tm2d3		6.1746936	
Tmem126a		6.1721087	
Prxl2a		6.1701765	
Tm2d2		6.1435328	
Cfap36		6.140735	
Tcea1		6.1400485	
Msmo1		6.133814	
Uba5		6.1329565	
LOC115487084		6.1199045	
Tcte1		6.101424	
Sycp3		6.0990157	
Gstp2		6.0777116	
Nsa2		6.041992	
Zdhhc6		6.0341325	
Acat1		6.017713	
Htr5a		6.0160995	
Cnih1		5.9784036	
Gm9776		5.967054	
Dnajb9		5.9153132	
Wnt11		5.901552	
Myoc		5.89566	
Nrp1		5.8508673	
Ndufaf1		5.8328447	
Txndc17		5.800133	
Laptm4a		5.7953196	
Pex13		5.786537	
Tspan3		5.767573	
Eid1		5.7664404	
Nxt2		5.756177	
Tra2a		5.685927	
Lamp1		5.676325	
Far2		5.6596127	
Sfxn1		5.65841	
Ahsa2		5.6482773	
Gla		5.641697	
Bend6		5.623659	
Ndufaf4		5.6192913	
Gm20300		5.614124	
Gstp1		5.575095	
Rsl24d1		5.5633264	
Paip1		5.557072	
Cript		5.5526	
Hprt		5.5498238	
Myo1h		5.519096	
Snx5		5.5124826	
Ergic2		5.5054765	
Laptm4b		5.495476	
Rpl5		5.467673	
Sdhaf2		5.4666076	
Bcap29		5.4437985	
Stmn2		5.414922	
Zfp867		5.4051757	
Uchl5		5.381596	
Cbfb		5.3785205	
Zfp260		5.373873	
Cnep1r1		5.354761	
Gm14169		5.351404	
Gabpb1		5.3333635	
Cept1		5.3330016	
Hacd3		5.3310065	
Zfp938		5.3096666	
Slc46a3		5.308695	
Cyb5r1		5.2945347	
Gm10778		5.291848	
Mpp4		5.277236	
Thumpd3		5.2771363	
Tmx2		5.2709794	
Tfam		5.247324	
Pdcd10		5.23989	
Ifngr2		5.230623	
Zfp781		5.2212343	
Caml		5.2211857	
Lyz2		5.2003965	
C1rb		5.192057	
Nol7		5.189037	
Tmem9b		5.1861672	
Immt		5.184376	
Rab5a		5.1829343	
Il11ra1		5.1784735	
Gm3055		5.176411	
Tatdn1		5.1702724	
Mrpl1		5.162883	
Dctn4		5.1445565	
Rab33b		5.141596	
Hsf2		5.1324706	
Rpl3		5.121133	
Tvp23b		5.1188884	
Drg1		5.1179285	
Tuba1c		5.11706	
Mir678		5.099013	
Atp6ap2		5.0775332	
Retreg1		5.0701456	
Mir1892		5.063765	
Vamp3		5.0563984	
Gm15772		5.0438232	
Rpl26		5.0438232	
Zfp958		5.043351	
Nfe2l2		5.022169	
Tex30		5.0178275	
Psmc5		5.011638	
Serpina3n		4.9990616	
Baalc		4.9969244	
Septin7		4.9931154	
Fbxo22		4.9914293	
Tgif1		4.99094	
Hsd17b12		4.9841046	
Bmp15		4.9811683	
Atp6ap1		4.978903	
Ntf3		4.978507	
Ggnbp2		4.9463215	
Mocs2		4.9417744	
Zfp40		4.940613	
Mmachc		4.935805	
Txndc15		4.934922	
Tmem41b		4.9305644	
Rps6-ps4		4.9232206	
Sgo2a		4.9229617	
Sptlc1		4.9143043	
Tmem50a		4.8976846	
Fbxl5		4.8972116	
Ranbp9		4.8764267	
AF357359		4.85462	
Mir7646		4.853552	
Eif3j1		4.8284187	
Eif3j2		4.8284187	
9530077C05Rik		4.816608	
Vrk2		4.7977996	
Bclaf3		4.795674	
Nqo2		4.7923365	
Tgm1		4.787138	
Tsg101		4.7843766	
Mir3076		4.7728252	
Emc7		4.769129	
Scoc		4.7673182	
Selenok		4.7657895	
Ryk		4.7599754	
Timm23		4.7540884	
Polr2c		4.746274	
Eif4e		4.7456813	
Selenop		4.7388697	
Septin2		4.7275844	
Eif3m		4.7157326	
Dek		4.7134023	
Tcp1		4.7097006	
Snord4a		4.709466	
Pgrmc1		4.697691	
Rpl4		4.696636	
Pacrg		4.694385	
Cct6a		4.693947	
Zc4h2		4.6906185	
Pdgfa		4.687877	
Fam107a		4.677564	
Mindy3		4.6699953	
Rbbp9		4.6591997	
Phospho2		4.653104	
1600014C10Rik		4.6382217	
Ranbp3l		4.635518	
Efemp1		4.6268873	
Nipsnap3b		4.6222043	
Gnpnat1		4.6190434	
Fbxo3		4.61231	
Serping1		4.6070824	
Rab28		4.6017165	
Lypla1		4.5960355	
Tmem35a		4.594031	
Polr3k		4.590855	
Adpgk		4.589587	
Cryzl1		4.5864916	
B2m		4.58515	
Tax1bp1		4.5732083	
Cacybp		4.5695057	
Ebpl		4.5671687	
Xlr		4.56599	
L2hgdh		4.5639553	
Tent2		4.550111	
Colec12		4.545299	
