MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:1914955	1810058I24Rik	RIKEN cDNA 1810058I24 gene	6		innate immune response			IEA	KW-0399 	J:60000 	
MGI:2449119	A2m	alpha-2-macroglobulin	6		negative regulation of complement activation, lectin pathway			ISO	P01023 	J:164563 	
MGI:103206	Acod1	aconitate decarboxylase 1	14		cellular response to interferon-gamma			IDA		J:196718 	
MGI:103206	Acod1	aconitate decarboxylase 1	14		innate immune response			IEA	KW-0399 	J:60000 	
MGI:103206	Acod1	aconitate decarboxylase 1	14		negative regulation of innate immune response			IDA		J:196955 	
MGI:87906	Actg1	actin, gamma, cytoplasmic 1	11		cellular response to interferon-gamma			IDA		J:143718 	
MGI:1913963	Actr2	ARP2 actin-related protein 2	11		cellular response to interferon-gamma			IGI	MGI:1921367 	J:143718 	
MGI:1921367	Actr3	ARP3 actin-related protein 3	1		cellular response to interferon-gamma			IGI	MGI:1913963 	J:143718 	
MGI:107825	Adam8	a disintegrin and metallopeptidase domain 8	7		positive regulation of innate immune response			IDA		J:172936 	
MGI:1333882	Adam15	a disintegrin and metallopeptidase domain 15 (metargidin)	3		innate immune response			IBA	PTN002628576 	J:265628 	
MGI:1333882	Adam15	a disintegrin and metallopeptidase domain 15 (metargidin)	3		innate immune response			ISO	Q13444 	J:164563 	
MGI:1889575	Adar	adenosine deaminase, RNA-specific	3		innate immune response			IEA	KW-0399 	J:60000 	
MGI:1889575	Adar	adenosine deaminase, RNA-specific	3		negative regulation of type I interferon-mediated signaling pathway			IMP	MGI:3828307 	J:142338 	
MGI:1933736	Adgrb1	adhesion G protein-coupled receptor B1	15		innate immune response			IEA	KW-0399 	J:60000 	
MGI:2686159	Aim2	absent in melanoma 2	1		activation of innate immune response			IBA	PTN001385767 	J:265628 	
MGI:2686159	Aim2	absent in melanoma 2	1		activation of innate immune response			IDA		J:147175 	
MGI:2686159	Aim2	absent in melanoma 2	1		activation of innate immune response			ISO	O14862 	J:164563 	
MGI:2686159	Aim2	absent in melanoma 2	1		innate immune response			IEA	KW-0399 	J:60000 	
MGI:104729	Akap1	A kinase (PRKA) anchor protein 1	11		antiviral innate immune response			ISO	Q92667 	J:164563 	
MGI:1928488	Akap8	A kinase (PRKA) anchor protein 8	17		innate immune response			IEA	KW-0399 	J:60000 	
MGI:1889364	Akirin2	akirin 2	4		innate immune response			IEA	KW-0399 	J:60000 	
MGI:1889364	Akirin2	akirin 2	4		positive regulation of innate immune response			IBA	PTN000999048 	J:265628 	
MGI:1918731	Alpk1	alpha-kinase 1	3		innate immune response			IMP		J:264436 	
MGI:1918731	Alpk1	alpha-kinase 1	3		innate immune response			ISO	Q96QP1 	J:164563 	
MGI:88022	Ang	angiogenin, ribonuclease, RNase A family, 5	14		innate immune response			IBA	PTN000153659 	J:265628 	
MGI:88022	Ang	angiogenin, ribonuclease, RNase A family, 5	14		innate immune response			IDA		J:82368 	
MGI:88022	Ang	angiogenin, ribonuclease, RNase A family, 5	14		innate immune response			ISO	P03950 	J:164563 	
MGI:104984	Ang2	angiogenin, ribonuclease A family, member 2	14		innate immune response			IBA	PTN000153659 	J:265628 	
MGI:1201793	Ang3	angiogenin, ribonuclease A family, member 3	14		innate immune response			IBA	PTN000153659 	J:265628 	
MGI:2656551	Ang4	angiogenin, ribonuclease A family, member 4	14		innate immune response			IBA	PTN000153659 	J:265628 	
MGI:2656551	Ang4	angiogenin, ribonuclease A family, member 4	14		innate immune response			IDA		J:82368 	
MGI:3528599	Ang5	angiogenin, ribonuclease A family, member 5	14		innate immune response			IBA	PTN000153659 	J:265628 	
MGI:3528602	Ang6	angiogenin, ribonuclease A family, member 6	14		innate immune response			IBA	PTN000153659 	J:265628 	
