MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:1924977	6030468B19Rik	RIKEN cDNA 6030468B19 gene	11		adaptive immune response			IEA	KW-1064 	J:60000 	
MGI:1924977	6030468B19Rik	RIKEN cDNA 6030468B19 gene	11		positive regulation of immunoglobulin production in mucosal tissue			IMP		J:251374 	
MGI:87916	Ada	adenosine deaminase	2		positive regulation of germinal center formation	regulates the formation of spleen		IMP	MGI:1857117 MGI:2683027 	J:106733 	
MGI:1096335	Adam17	a disintegrin and metallopeptidase domain 17	12		germinal center formation			IMP		J:143629 	
MGI:102891	Adcy7	adenylate cyclase 7	8		regulation of adaptive immune response			IMP		J:161446 	
MGI:106912	Adgre1	adhesion G protein-coupled receptor E1	17		adaptive immune response			IEA	KW-1064 	J:60000 	
MGI:893592	Ager	advanced glycosylation end product-specific receptor	17		regulation of T cell mediated cytotoxicity			ISO	Q15109 	J:164563 	
MGI:1342279	Aicda	activation-induced cytidine deaminase	6		isotype switching	happens in mature B cell		IMP		J:126758 	
MGI:1342279	Aicda	activation-induced cytidine deaminase	6		isotype switching			IMP		J:172192 	
MGI:1338803	Aire	autoimmune regulator (autoimmune polyendocrinopathy candidiasis ectodermal dystrophy)	10		peripheral T cell tolerance induction			IBA	PTN002931439 	J:265628 	
MGI:1338803	Aire	autoimmune regulator (autoimmune polyendocrinopathy candidiasis ectodermal dystrophy)	10		peripheral T cell tolerance induction			IDA		J:208220 	
MGI:1313266	Alcam	activated leukocyte cell adhesion molecule	16		adaptive immune response			IEA	KW-1064 	J:60000 	
MGI:87997	Alox15	arachidonate 15-lipoxygenase	11		negative regulation of adaptive immune response			IMP		J:187327 	
MGI:96819	Anxa1	annexin A1	19		adaptive immune response			IEA	KW-1064 	J:60000 	
MGI:96819	Anxa1	annexin A1	19		positive regulation of T-helper 1 cell differentiation			IBA	PTN002574794 	J:265628 	
MGI:96819	Anxa1	annexin A1	19		positive regulation of T-helper 1 cell differentiation			ISO	P04083 	J:164563 	
MGI:98229	Apcs	serum amyloid P-component	1		complement activation, classical pathway			IBA	PTN000444388 	J:265628 	
